,t2
ArabicDigits,0.9731818437576294
AUSLAN,0.929122805595398
CharacterTrajectories,0.9456606507301331
CMUsubject16,1.0
ECG,0.8399999737739563
JapaneseVowels,0.9729729890823364
KickvsPunch,0.8999999761581421
Libras,0.8277778029441833
NetFlow,0.8614231944084167
UWave,0.8452547788619995
Wafer,0.8939732313156128
WalkvsRun,1.0
