,t2
ArabicDigits,0.9679089489530437
AUSLAN,0.8619109847478758
CharacterTrajectories,0.8714466503880889
CMUsubject16,0.27586206896551724
ECG,0.7738579828132067
JapaneseVowels,0.9608545276519607
KickvsPunch,0.7916666666666667
Libras,0.8431910974016238
NetFlow,0.8057598039215687
UWave,-9999.0
Wafer,-9999.0
WalkvsRun,0.375
