,snX
ArabicDigits,0.9795454740524292
AUSLAN,0.8336842060089111
CharacterTrajectories,0.9644253253936768
CMUsubject16,0.7241379022598267
ECG,0.7599999904632568
JapaneseVowels,0.8891891837120056
KickvsPunch,0.4000000059604645
Libras,0.06666667014360428
NetFlow,0.779026210308075
UWave,0.5762038230895996
Wafer,0.8939732313156128
WalkvsRun,0.25
