,atx
ArabicDigits,0.9850000000000001
AUSLAN,0.8708771929824561
CharacterTrajectories,0.9768703416348782
CMUsubject16,0.9302884615384616
ECG,0.49231117141564906
JapaneseVowels,0.9695615137550622
KickvsPunch,0.6666666666666667
Libras,0.7333333333333332
NetFlow,0.5
UWave,0.9025381532430257
Wafer,-9999.0
WalkvsRun,0.5
