,atx
ArabicDigits,0.9850700851863643
AUSLAN,0.8845971257376419
CharacterTrajectories,0.9783883640847038
CMUsubject16,0.9302884615384616
ECG,0.41326530612244894
JapaneseVowels,0.9683725939823502
KickvsPunch,0.6904761904761905
Libras,0.7476741095162147
NetFlow,0.3895131086142322
UWave,0.9046485093350544
Wafer,-9999.0
WalkvsRun,0.375
