,atx
ArabicDigits,0.9836363792419434
AUSLAN,0.8385964632034302
CharacterTrajectories,0.9644253253936768
CMUsubject16,0.7241379022598267
ECG,0.33000001311302185
JapaneseVowels,0.9486486315727234
KickvsPunch,0.4000000059604645
Libras,0.7444444298744202
NetFlow,0.779026210308075
UWave,0.9095371961593628
Wafer,0.8939732313156128
WalkvsRun,0.25
