,t2
ArabicDigits,0.9677272727272725
AUSLAN,0.8463157894736842
CharacterTrajectories,0.866257867223581
CMUsubject16,0.5
ECG,0.7738579828132067
JapaneseVowels,0.9570208360419706
KickvsPunch,0.7916666666666667
Libras,0.8277777777777778
NetFlow,0.7744662646675359
UWave,-9999.0
Wafer,-9999.0
WalkvsRun,0.5
