,t2
ArabicDigits,0.9409090876579285
AUSLAN,0.010526316240429878
CharacterTrajectories,0.047693509608507156
CMUsubject16,1.0
ECG,0.7799999713897705
JapaneseVowels,0.954054057598114
KickvsPunch,0.5
Libras,0.06666667014360428
NetFlow,0.779026210308075
UWave,0.8452547788619995
Wafer,0.8939732313156128
WalkvsRun,1.0
